user_id,signup_date,country,persona,acquisition_channel
U00210,2024-02-22,UK,student,organic
U00211,2024-01-06,India,student,paid_ads
U00212,2024-01-28,India,professional,organic
U00213,2024-01-28,Germany,student,email
U00214,2024-02-13,USA,hobbyist,referral
U00215,2024-02-13,USA,professional,paid_ads
U00216,2024-01-20,USA,student,email
U00217,2024-01-30,USA,team,email
U00218,2024-01-11,UK,student,organic
U00219,2024-02-27,India,hobbyist,organic
U00220,2024-02-24,UK,hobbyist,referral
U00221,2024-01-28,India,student,organic
U00222,2024-01-25,UK,professional,paid_ads
U00223,2024-02-08,India,professional,organic
U00224,2024-02-02,USA,professional,organic
U00225,2024-01-01,India,hobbyist,paid_ads
U00226,2024-02-26,India,student,organic
U00227,2024-01-27,Germany,student,referral
U00228,2024-02-26,Germany,student,email
U00229,2024-02-21,Germany,student,email
U00230,2024-01-13,USA,student,organic
U00231,2024-02-10,UK,student,paid_ads
U00232,2024-01-03,UK,hobbyist,organic
U00233,2024-02-08,UK,professional,referral
U00234,2024-01-06,India,professional,organic
U00235,2024-01-08,UK,team,organic
U00236,2024-01-27,India,hobbyist,email
U00237,2024-01-09,UK,student,referral
U00238,2024-02-06,UK,student,paid_ads
U00239,2024-02-02,UK,student,organic
U00240,2024-02-20,UK,professional,paid_ads
U00241,2024-02-11,USA,student,email
U00242,2024-02-13,Germany,team,organic
U00243,2024-01-24,USA,professional,organic
U00244,2024-01-15,USA,team,email
U00245,2024-02-28,India,hobbyist,organic
U00246,2024-02-23,UK,professional,paid_ads
U00247,2024-02-01,UK,student,email
U00248,2024-02-01,Germany,student,email
U00249,2024-01-24,USA,team,email
U00250,2024-02-10,India,student,organic
U00251,2024-02-21,USA,student,organic
U00252,2024-02-18,India,professional,referral
U00253,2024-02-18,USA,hobbyist,organic
U00254,2024-02-27,UK,professional,organic
U00255,2024-02-21,Germany,hobbyist,organic
U00256,2024-01-12,USA,student,email
U00257,2024-02-08,UK,hobbyist,organic
U00258,2024-01-02,India,professional,email
U00259,2024-01-03,USA,student,organic
U00260,2024-02-18,USA,team,email
U00261,2024-02-06,UK,student,organic
U00262,2024-02-18,USA,team,paid_ads
U00263,2024-02-25,USA,student,organic
U00264,2024-01-17,Germany,student,paid_ads
U00265,2024-02-28,India,student,organic
U00266,2024-02-18,UK,hobbyist,paid_ads
U00267,2024-01-02,UK,hobbyist,email
U00268,2024-01-02,USA,professional,organic
U00269,2024-01-28,USA,student,email
U00270,2024-02-23,USA,hobbyist,email
U00271,2024-01-23,Germany,student,email
U00272,2024-02-06,USA,professional,paid_ads
U00273,2024-02-01,India,team,email
U00274,2024-02-02,UK,hobbyist,organic
U00275,2024-01-01,USA,hobbyist,organic
U00276,2024-01-19,India,professional,organic
U00277,2024-01-02,USA,professional,email
U00278,2024-02-22,India,hobbyist,referral
U00279,2024-02-13,USA,team,paid_ads
U00280,2024-01-26,Germany,professional,organic
U00281,2024-02-01,Germany,hobbyist,organic
U00282,2024-01-06,USA,professional,email
U00283,2024-02-01,India,team,organic
U00284,2024-02-24,UK,professional,email
U00285,2024-01-04,USA,professional,organic
U00286,2024-02-24,India,hobbyist,paid_ads
U00287,2024-01-11,USA,team,referral
U00288,2024-02-25,USA,student,paid_ads
U00289,2024-02-28,UK,professional,paid_ads
U00290,2024-01-17,India,professional,paid_ads
U00291,2024-02-07,USA,student,paid_ads
U00292,2024-01-24,India,hobbyist,paid_ads
U00293,2024-01-05,India,professional,organic
U00294,2024-02-21,UK,hobbyist,email
U00295,2024-02-03,UK,hobbyist,email
U00296,2024-01-06,India,student,organic
U00297,2024-01-22,USA,team,referral
U00298,2024-01-11,UK,professional,paid_ads
U00299,2024-02-17,Germany,team,organic
U00300,2024-01-16,USA,hobbyist,paid_ads
U00301,2024-02-02,UK,team,paid_ads
U00302,2024-01-09,India,hobbyist,referral
U00303,2024-02-29,UK,professional,paid_ads
U00304,2024-02-28,India,hobbyist,paid_ads
U00305,2024-01-06,UK,team,email
U00306,2024-01-16,India,hobbyist,organic
U00307,2024-01-29,USA,student,email
U00308,2024-01-03,USA,hobbyist,referral
U00309,2024-01-20,India,student,organic
U00310,2024-02-29,India,professional,organic
U00311,2024-02-28,USA,student,paid_ads
U00312,2024-02-05,UK,student,organic
U00313,2024-01-19,UK,student,paid_ads
U00314,2024-01-26,UK,team,organic
U00315,2024-01-03,Germany,student,paid_ads
U00316,2024-01-19,India,hobbyist,organic
U00317,2024-01-20,UK,team,organic
U00318,2024-02-01,Germany,team,email
U00319,2024-01-07,India,professional,paid_ads
U00320,2024-02-21,India,student,organic
U00321,2024-02-10,India,student,referral
U00322,2024-02-02,Germany,student,email
U00323,2024-02-09,India,professional,organic
U00324,2024-02-08,USA,professional,paid_ads
U00325,2024-01-18,India,team,email
U00326,2024-02-09,USA,hobbyist,organic
U00327,2024-01-01,UK,student,organic
U00328,2024-01-11,UK,student,organic
U00329,2024-01-28,USA,student,email
U00330,2024-02-26,USA,hobbyist,email
U00331,2024-01-25,USA,professional,email
U00332,2024-02-19,USA,hobbyist,paid_ads
U00333,2024-01-23,USA,professional,paid_ads
U00334,2024-01-31,UK,student,paid_ads
U00335,2024-01-30,USA,student,organic
U00336,2024-02-11,USA,student,email
U00337,2024-02-04,USA,student,email
U00338,2024-01-07,USA,student,paid_ads
U00339,2024-02-29,India,student,organic
U00340,2024-01-16,UK,professional,email
U00341,2024-01-26,USA,hobbyist,paid_ads
U00342,2024-02-17,UK,professional,paid_ads
U00343,2024-02-26,UK,professional,email
U00344,2024-02-21,UK,professional,organic
U00345,2024-02-29,USA,professional,referral
U00346,2024-02-18,USA,professional,organic
U00347,2024-01-02,USA,student,paid_ads
U00348,2024-01-01,India,student,referral
U00349,2024-02-17,India,hobbyist,email
U00350,2024-01-12,India,hobbyist,email
U00351,2024-01-05,India,professional,organic
U00352,2024-02-06,UK,student,email
U00353,2024-02-01,India,student,paid_ads
U00354,2024-02-28,India,student,email
U00355,2024-02-24,USA,professional,email
U00356,2024-01-09,USA,professional,organic
U00357,2024-02-10,USA,team,organic
U00358,2024-02-04,USA,student,organic
U00359,2024-01-19,USA,student,paid_ads
U00360,2024-02-17,Germany,hobbyist,paid_ads
U00361,2024-01-16,UK,team,paid_ads
U00362,2024-01-03,UK,student,organic
U00363,2024-01-20,UK,professional,email
U00364,2024-01-24,UK,team,email
U00365,2024-02-23,USA,professional,email
U00366,2024-02-25,USA,student,organic
U00367,2024-02-02,USA,team,organic
U00368,2024-01-24,UK,professional,organic
U00369,2024-02-21,UK,student,paid_ads
U00370,2024-01-11,USA,hobbyist,referral
U00371,2024-02-18,Germany,team,organic
U00372,2024-01-08,USA,student,organic
U00373,2024-02-05,India,professional,organic
U00374,2024-02-07,India,hobbyist,paid_ads
U00375,2024-02-09,USA,hobbyist,organic
U00376,2024-01-20,India,student,organic
U00377,2024-02-04,India,professional,paid_ads
U00378,2024-02-17,India,student,referral
U00379,2024-01-25,India,professional,organic
U00380,2024-02-04,UK,team,paid_ads
U00381,2024-01-25,India,professional,paid_ads
U00382,2024-01-29,USA,student,paid_ads
U00383,2024-01-18,UK,student,paid_ads
U00384,2024-02-15,India,team,referral
U00385,2024-01-18,USA,student,organic
U00386,2024-01-02,USA,student,email
U00387,2024-02-23,India,professional,organic
U00388,2024-02-04,UK,student,organic
U00389,2024-01-16,USA,student,organic
U00390,2024-02-10,India,professional,paid_ads
U00391,2024-02-05,USA,student,referral
U00392,2024-02-02,UK,hobbyist,organic
U00393,2024-01-04,India,hobbyist,organic
U00394,2024-02-02,UK,professional,organic
U00395,2024-01-14,India,professional,organic
U00396,2024-01-21,USA,student,organic
U00397,2024-02-17,UK,student,organic
U00398,2024-01-20,India,student,organic
U00399,2024-02-25,USA,team,referral
U00400,2024-01-08,India,hobbyist,referral
U00401,2024-01-07,UK,student,organic
U00402,2024-01-03,India,professional,organic
U00403,2024-01-17,India,professional,referral
U00404,2024-02-02,USA,hobbyist,organic
U00405,2024-02-17,UK,hobbyist,paid_ads
U00406,2024-01-12,USA,team,organic
U00407,2024-02-28,India,professional,paid_ads
U00408,2024-02-20,USA,professional,organic
U00409,2024-01-22,UK,hobbyist,organic
U00410,2024-02-24,Germany,professional,organic
U00411,2024-01-22,India,student,paid_ads
U00412,2024-02-15,India,student,paid_ads
U00413,2024-01-30,UK,hobbyist,organic
U00414,2024-02-07,UK,team,organic
U00415,2024-02-07,Germany,professional,email
U00416,2024-02-14,USA,student,paid_ads
U00417,2024-02-20,India,student,email
U00418,2024-02-23,India,student,paid_ads
U00419,2024-01-08,India,student,organic
U00420,2024-01-27,Germany,student,referral
U00421,2024-01-27,USA,professional,paid_ads
U00422,2024-02-03,UK,team,email
U00423,2024-01-21,India,hobbyist,organic
U00424,2024-01-30,India,student,organic
U00425,2024-02-02,India,student,email
U00426,2024-01-28,India,student,email
U00427,2024-02-16,UK,student,organic
U00428,2024-02-02,India,student,organic
U00429,2024-01-05,UK,team,email
U00430,2024-02-29,India,student,organic
U00431,2024-02-17,USA,student,organic
U00432,2024-01-19,India,professional,organic
U00433,2024-01-04,UK,team,email
U00434,2024-02-04,UK,professional,email
U00435,2024-02-18,UK,team,referral
U00436,2024-01-17,USA,hobbyist,email
U00437,2024-02-13,India,hobbyist,paid_ads
U00438,2024-01-28,USA,professional,organic
U00439,2024-01-30,UK,team,paid_ads
U00440,2024-01-29,India,student,referral
U00441,2024-02-15,UK,student,organic
U00442,2024-02-22,USA,hobbyist,paid_ads
U00443,2024-01-06,USA,hobbyist,paid_ads
U00444,2024-02-04,UK,student,organic
U00445,2024-02-29,USA,professional,referral
U00446,2024-02-10,USA,student,email
U00447,2024-02-06,UK,student,paid_ads
U00448,2024-01-24,USA,professional,organic
U00449,2024-01-29,USA,student,organic
U00450,2024-02-18,UK,team,email
U00451,2024-02-15,Germany,team,email
U00452,2024-02-22,UK,professional,paid_ads
U00453,2024-01-31,USA,professional,email
U00454,2024-02-04,UK,hobbyist,paid_ads
U00455,2024-02-29,India,student,organic
U00456,2024-02-02,UK,professional,paid_ads
U00457,2024-02-21,USA,student,paid_ads
U00458,2024-01-21,USA,student,organic
U00459,2024-02-01,Germany,professional,paid_ads
U00460,2024-01-23,Germany,student,referral
U00461,2024-02-02,USA,team,organic
U00462,2024-01-03,USA,professional,paid_ads
U00463,2024-01-18,Germany,team,email
U00464,2024-01-25,USA,hobbyist,email
U00465,2024-02-11,USA,hobbyist,organic
U00466,2024-01-31,USA,professional,organic
U00467,2024-02-23,USA,hobbyist,paid_ads
U00468,2024-02-27,USA,student,organic
U00469,2024-01-03,Germany,hobbyist,paid_ads
U00470,2024-02-09,USA,professional,organic
U00471,2024-02-15,USA,student,organic
U00472,2024-01-24,India,student,organic
U00473,2024-02-19,India,professional,paid_ads
U00474,2024-02-01,India,professional,organic
U00475,2024-02-16,Germany,hobbyist,paid_ads
U00476,2024-01-22,USA,student,paid_ads
U00477,2024-01-23,Germany,team,organic
U00478,2024-01-02,India,hobbyist,paid_ads
U00479,2024-01-27,India,student,email
U00480,2024-02-11,USA,hobbyist,paid_ads
U00481,2024-01-02,USA,hobbyist,organic
U00482,2024-01-26,USA,hobbyist,paid_ads
U00483,2024-01-17,India,student,referral
U00484,2024-02-09,USA,team,organic
U00485,2024-02-02,India,team,referral
U00486,2024-01-09,UK,team,paid_ads
U00487,2024-02-12,India,professional,email
U00488,2024-02-23,USA,hobbyist,organic
U00489,2024-02-17,USA,professional,paid_ads
U00490,2024-02-08,UK,professional,organic
U00491,2024-01-29,USA,student,referral
U00492,2024-02-11,USA,hobbyist,organic
U00493,2024-02-24,USA,hobbyist,email
U00494,2024-01-26,India,hobbyist,organic
U00495,2024-02-04,USA,hobbyist,paid_ads
U00496,2024-02-19,India,student,paid_ads
U00497,2024-01-25,India,team,paid_ads
U00498,2024-01-24,India,hobbyist,organic
U00499,2024-01-13,UK,professional,referral
U00500,2024-02-29,UK,student,organic
U00501,2024-02-27,India,professional,paid_ads
U00502,2024-01-07,USA,student,email
U00503,2024-02-26,USA,student,email
U00504,2024-02-05,UK,hobbyist,organic
U00505,2024-02-14,USA,student,organic
U00506,2024-01-20,India,hobbyist,paid_ads
U00507,2024-01-01,USA,professional,email
U00508,2024-01-08,USA,professional,paid_ads
U00509,2024-02-15,USA,student,paid_ads
U00510,2024-01-16,USA,professional,paid_ads
U00511,2024-01-14,USA,student,paid_ads
U00512,2024-01-12,India,professional,organic
U00513,2024-02-20,UK,team,organic
U00514,2024-01-23,USA,student,organic
U00515,2024-01-15,India,student,email
U00516,2024-01-28,USA,hobbyist,email
U00517,2024-02-03,USA,hobbyist,paid_ads
U00518,2024-01-02,USA,hobbyist,paid_ads
U00519,2024-02-01,USA,professional,email
U00520,2024-01-23,UK,professional,paid_ads
U00521,2024-01-22,India,hobbyist,paid_ads
U00522,2024-02-20,UK,hobbyist,organic
U00523,2024-01-25,India,student,email
U00524,2024-02-27,UK,hobbyist,paid_ads
U00525,2024-01-22,USA,student,email
U00526,2024-02-27,UK,student,organic
U00527,2024-02-27,India,student,organic
U00528,2024-01-22,UK,professional,email
U00529,2024-02-18,USA,student,organic
U00530,2024-02-21,India,student,organic
U00531,2024-02-11,UK,team,paid_ads
U00532,2024-01-06,India,hobbyist,paid_ads
U00533,2024-01-15,India,student,organic
U00534,2024-02-23,UK,team,organic
U00535,2024-02-12,USA,student,email
U00536,2024-02-29,India,professional,paid_ads
U00537,2024-02-06,UK,professional,organic
U00538,2024-02-02,UK,student,organic
U00539,2024-01-08,USA,student,email
U00540,2024-02-22,UK,professional,paid_ads
U00541,2024-02-29,USA,professional,organic
U00542,2024-02-13,UK,student,referral
U00543,2024-02-13,USA,professional,organic
U00544,2024-01-05,India,professional,referral
U00545,2024-02-08,USA,hobbyist,referral
U00546,2024-01-04,UK,team,organic
U00547,2024-01-06,India,student,organic
U00548,2024-02-14,UK,professional,paid_ads
U00549,2024-02-01,India,team,paid_ads
U00550,2024-02-21,UK,professional,referral
U00551,2024-01-30,India,hobbyist,paid_ads
U00552,2024-02-16,UK,team,paid_ads
U00553,2024-02-04,UK,hobbyist,organic
U00554,2024-02-24,USA,hobbyist,organic
U00555,2024-02-09,India,professional,referral
U00556,2024-02-21,UK,student,email
U00557,2024-01-16,UK,professional,organic
U00558,2024-01-13,USA,professional,referral
U00559,2024-02-19,USA,hobbyist,organic
U00560,2024-02-29,India,hobbyist,email
U00561,2024-02-11,UK,hobbyist,organic
U00562,2024-01-30,USA,hobbyist,paid_ads
U00563,2024-01-19,USA,professional,referral
U00564,2024-01-17,UK,hobbyist,paid_ads
U00565,2024-02-25,India,team,referral
U00566,2024-01-19,India,student,organic
U00567,2024-01-28,UK,hobbyist,organic
U00568,2024-02-27,UK,hobbyist,paid_ads
U00569,2024-02-24,UK,hobbyist,email
U00570,2024-01-26,India,hobbyist,email
U00571,2024-02-06,USA,hobbyist,referral
U00572,2024-01-26,India,student,organic
U00573,2024-02-22,Germany,professional,email
U00574,2024-01-23,USA,hobbyist,paid_ads
U00575,2024-01-09,India,professional,paid_ads
U00576,2024-01-12,UK,hobbyist,email
U00577,2024-02-22,USA,student,paid_ads
U00578,2024-01-01,UK,student,email
U00579,2024-02-27,USA,professional,paid_ads
U00580,2024-02-27,USA,professional,referral
U00581,2024-01-01,India,team,organic
U00582,2024-02-16,USA,student,organic
U00583,2024-02-03,India,professional,paid_ads
U00584,2024-02-01,Germany,hobbyist,paid_ads
U00585,2024-02-23,India,hobbyist,organic
U00586,2024-02-17,Germany,hobbyist,organic
U00587,2024-01-25,Germany,hobbyist,organic
U00588,2024-02-09,USA,professional,organic
U00589,2024-02-14,India,team,organic
U00590,2024-02-22,Germany,team,organic
U00591,2024-01-01,USA,student,paid_ads
U00592,2024-01-16,India,professional,organic
U00593,2024-02-08,India,team,organic
U00594,2024-01-05,UK,professional,email
U00595,2024-01-22,USA,hobbyist,paid_ads
U00596,2024-01-29,USA,professional,organic
U00597,2024-02-24,USA,team,referral
U00598,2024-01-03,USA,student,organic
U00599,2024-01-12,USA,student,organic
U00600,2024-01-26,India,professional,organic
U00601,2024-01-16,UK,professional,paid_ads
U00602,2024-02-20,USA,student,organic
U00603,2024-02-06,India,team,organic
U00604,2024-01-22,UK,hobbyist,organic
U00605,2024-02-26,India,student,organic
U00606,2024-01-29,India,student,organic
U00607,2024-01-14,India,student,paid_ads
U00608,2024-01-28,UK,professional,email
U00609,2024-01-05,USA,professional,paid_ads
U00610,2024-02-16,Germany,hobbyist,organic
U00611,2024-02-18,UK,professional,organic
U00612,2024-01-30,India,hobbyist,organic
U00613,2024-02-15,India,hobbyist,paid_ads
U00614,2024-02-21,UK,student,organic
U00615,2024-01-05,India,hobbyist,paid_ads
U00616,2024-01-12,India,student,email
U00617,2024-01-16,UK,professional,organic
U00618,2024-01-26,USA,team,email
U00619,2024-01-26,India,student,paid_ads
U00620,2024-02-17,USA,professional,paid_ads
U00621,2024-01-21,USA,student,paid_ads
U00622,2024-02-08,India,student,referral
U00623,2024-02-05,USA,professional,organic
U00624,2024-02-02,USA,hobbyist,email
U00625,2024-01-30,India,team,paid_ads
U00626,2024-02-06,USA,team,organic
U00627,2024-01-23,USA,professional,organic
U00628,2024-02-27,USA,hobbyist,email
U00629,2024-01-10,India,student,email
U00630,2024-02-23,USA,student,organic
U00631,2024-01-05,India,hobbyist,email
U00632,2024-02-05,India,hobbyist,organic
U00633,2024-02-03,USA,student,paid_ads
U00634,2024-02-21,USA,professional,referral
U00635,2024-01-31,Germany,student,paid_ads
U00636,2024-01-10,USA,professional,organic
U00637,2024-02-27,UK,hobbyist,email
U00638,2024-01-19,USA,team,organic
U00639,2024-02-27,USA,professional,email
U00640,2024-02-01,USA,hobbyist,paid_ads
U00641,2024-01-01,India,hobbyist,organic
U00642,2024-02-25,India,hobbyist,email
U00643,2024-01-05,UK,hobbyist,organic
U00644,2024-02-14,Germany,student,referral
U00645,2024-01-04,India,student,referral
U00646,2024-01-16,Germany,team,paid_ads
U00647,2024-01-24,USA,hobbyist,paid_ads
U00648,2024-01-16,USA,student,email
U00649,2024-02-24,UK,team,paid_ads
U00650,2024-01-02,India,student,paid_ads
U00651,2024-02-18,India,team,organic
U00652,2024-01-28,India,team,paid_ads
U00653,2024-02-01,USA,hobbyist,organic
U00654,2024-01-27,USA,hobbyist,organic
U00655,2024-01-20,USA,hobbyist,paid_ads
U00656,2024-01-24,USA,hobbyist,paid_ads
U00657,2024-01-12,USA,professional,organic
U00658,2024-02-19,USA,student,email
U00659,2024-02-04,India,professional,referral
U00660,2024-02-29,USA,hobbyist,organic
U00661,2024-02-02,India,hobbyist,referral
U00662,2024-02-02,USA,team,paid_ads
U00663,2024-02-20,USA,team,paid_ads
U00664,2024-02-12,Germany,student,paid_ads
U00665,2024-02-06,USA,hobbyist,email
U00666,2024-01-12,UK,student,paid_ads
U00667,2024-01-03,UK,student,email
U00668,2024-01-01,Germany,professional,email
U00669,2024-02-02,UK,student,paid_ads
U00670,2024-02-09,UK,student,referral
U00671,2024-01-10,USA,student,paid_ads
U00672,2024-02-12,UK,hobbyist,organic
